Мангал	Вид на горы	2022-09-14T11:54:46.131Z	Hamburg
Бассейн	Под открытым небом	2022-09-14T11:54:59.280Z	Dusseldorf
Дача	Вид на горы	2022-09-14T11:54:59.288Z	Dusseldorf
Мангал	Цветочный сад под окно	2022-09-14T11:54:59.293Z	Brussels
Дача	Песчаный пляж	2022-09-14T11:54:59.302Z	Amsterdam
Бассейн	Под открытым небом	2022-09-14T11:54:59.311Z	Brussels
Дом	Цветочный сад под окно	2022-09-14T11:54:59.317Z	Brussels
Беседка	Вид на горы	2022-09-14T11:54:59.321Z	Amsterdam
Бассейн	Цветочный сад под окно	2022-09-14T11:54:59.329Z	Brussels
Мангал	Песчаный пляж	2022-09-14T11:54:59.333Z	Brussels
